date,name,description,link,location,tags
2023-03-08 09:00:00,"Incontro DevOps Italia 2023 - Workshop",,https://community.codemotion.com/grusp/meetups/incontro-devops-italia-2023,Bologna,"DevOps,continuous delivery,cloud,microservices,automation,testing,big data,containers"
2023-03-09 09:00:00,"Incontro DevOps Italia 2023 - Conferenza",,https://community.codemotion.com/grusp/meetups/incontro-devops-italia-2023,Bologna+Online,"DevOps,continuous delivery,cloud,microservices,automation,testing,big data,containers"
2023-03-10 09:00:00,"Rome .NET Conference 2023",,https://www.eventbrite.it/e/registrazione-rome-net-conference-2023-527735209217,Roma,".net"
2023-03-16 09:30:00,"Web Day 2023",,https://www.ugidotnet.org/e/3087/Web-Day-2023,Milano+Online,"blazor,wasm,webassembly,web3,cdn,api,rest,grpc,signalr,graphql,.net,node.js,web,keycloak,npm,javascript,cypress"
2023-03-31 09:00:00,"cssday 2023",,https://community.codemotion.com/grusp/meetups/cssday-1,Faenza+Online,"devops,frontend,javascript,angular,containers"
