date,name,description,link,location,tags
2023-05-09 18:45:00,"Esplorando la Crittografia: come funziona, algoritmi e applicazioni",,https://thecmmbay.com/eventi/esplorando-la-crittografia-come-funziona-algoritmi-e-applicazioni-8zp7lxd703l#registrati,Online,"cryptography"
2023-05-16 18:45:00,"Sviluppiamo un clone del videogioco FlappyBird in Flutter e Dart",,https://thecmmbay.com/eventi/sviluppiamo-un-clone-del-videogioco-flappybird-in-flutter-e-dart-84gjnvl76xk#registrati,Online,"dart,flutter,videogames"
2023-05-18 09:00:00,"phpday 2023",,https://community.codemotion.com/grusp/meetups/phpday-2023,Verona+Online,"php,devops,backend,frontend"
2023-05-05 18:00:00,"Women Will - Come programmare il tuo cambiamento lavorativo",,https://www.eventbrite.it/e/biglietti-women-will-come-programmare-il-tuo-cambiamento-lavorativo-503378437457,Online,"personal growth,job"
2023-05-24 18:00:00,"Opening Future - Personal Branding su LinkedIn",,https://www.eventbrite.it/e/registrazione-opening-future-personal-branding-su-linkedin-589632405397,Online,"personal branding,personal growth"
2023-05-26 09:00:00,"BlazorConf 2023","La conferenza italiana su Blazor",https://blazorconf.it/,Milano+Online,"blazor,.net,c#,frontend,backend"
2023-05-30 18:45:00,"Sicurezza web applicativa: minacce, vulnerabilità e best practice",,https://thecmmbay.com/eventi/sicurezza-web-applicativa-minacce-vulnerabilita-e-best-practice-q3wezx37vk9#registrati,Online,"security"
