date,name,description,link,location,tags
2023-01-30 19:00:00,"Wannabe CTO: Technical VS Manager - Dov'è l'equilibrio?",,https://community.codemotion.com/codemotion-italy/meetups/wannabe-cto-technical-vs-manager---dov-lequilibrio,Online,"cto,technical"
2023-02-08 19:00:00,"Tech Career Compass - Leadership e condivisione",,https://community.codemotion.com/codemotion-italy/meetups/tech-career-compass-leadership-e-condivisione,Online,"technical"
2023-02-09 11:00:00,"Microfrontend nel mondo reale: focus su performance e developer experience",,https://events.codemotion.com/webinars/microfrontend-nel-mondo-reale-focus-su-performance-e-developer-experience,Online,"microfrontend,neo4j"
2023-02-23 18:30:00,"Our Journey to the Data Mesh: boosting data in a microservice world",(ENG),http://www.jugmilano.it/meeting-142.html,Milano+Online,"microservices,java,data mesh"
