
date,name,description,link,location,tags
2022-11-10 20:45:00,"Coding Gym Bassano del Grappa Novembre 2022",,https://coding-gym.org/events/2022-11-10-it-bdg/,Bassano del Grappa (VI),"coding"
2022-11-19 09:30:00,"DevFest Pescara",,https://gdg.community.dev/events/details/google-gdg-pescara-presents-devfest-pescara-2022/,Pescara,"google"
2022-11-26 10:30:00,"GDG Napoli Devfest 2022","",https://gdg.community.dev/events/details/google-gdg-napoli-presents-gdg-napoli-devfest-2022/,Napoli,"google,developers,enthusiasts"
2022-11-25 18:30:00,"Coding Gym Lecce Novembre 2022",,https://coding-gym-le1122.eventbrite.it,Officine Cantelmo Lecce,"coding gym"
